S.No.,Base Form,Past Form,Past Participle Form,s / es/ ies,?ing? form
126,shake,SHOOK,shaken,shakes,shaking
127,shave,SHOVE,shaven,shaves,shaving
128,shear,SHORE,shorn,shears,shearing
129,shed,SHED,shed,sheds,shedding
130,shine,SHONE,shone,shines,shining
131,shit,SHIT,shit,shits,shitting
132,shoe,SHOD,shod,shoes,shoeing
133,shoot,SHOT,shot,shoots,shooting
134,show,SHOWED,shown,shows,showing
135,shrink,SHRANK,shrunk,shrinks,shrinking
136,shrive,SHROVE,shriven,shrives,shriving
137,shut,SHUT,shut,shuts,shutting
138,sing,SANG,sung,sings,singing
139,sink,SANK,sunk,sinks,sinking
140,sit,SAT,sat,sits,sitting
141,slay,SLEW,slain,slays,slaying
142,sleep,SLEPT,slept,sleeps,sleeping
143,slide,SLID,slid,slides,sliding
144,sling,SLUNG,slung,slings,slinging
145,slink,SLUNK,slunk,slinks,slinking
146,slit,SLIT,slit,slits,slitting
147,smell,SMELT,smelt,smells,smelling
148,smite,SMOTE,smitten,smites,smiting
149,speak,SPOKE,spoken,speaks,speaking
150,speed,SPED,sped,speeds,speeding
151,spell,SPELT,spelt,spells,spelling
152,spend,SPENT,spent,spends,spending
153,spill,SPILT,spilt,spills,spilling
154,spin,SPUN,spun,spins,spinning
155,spit,SPAT,spat,spits,spitting
156,split,SPLIT,split,splits,splitting
157,spoil,SPOILT,spoilt,spoils,spoiling
158,spread,SPREAD,spread,spreads,spreading
159,spring,SPRANG,sprung,springs,springing
160,stand,STOOD,stood,stands,standing
161,steal,STOLE,stolen,steals,stealing
162,stick,STUCK,stuck,sticks,sticking
163,sting,STUNG,stung,stings,stinging
164,stink,STANK,stunk,stinks,stinking
165,strew,STREWED,strewn,strews,strewing
166,stride,STRODE,stridden,strides,striding
167,strike,STRUCK,stricken,strikes,striking
168,string,STRUNG,strung,strings,stringing
169,strive,STROVE,striven,strives,striving
170,swear,SWORE,sworn,swears,swearing
171,sweat,SWEAT,sweat,sweats,sweating
172,sweep,SWEPT,swept,sweeps,sweeping
173,swell,SWELLED,swollen,swells,swelling
174,swim,SWAM,swum,swims,swimming
175,swing,SWUNG,swung,swings,swinging
176,take,TOOK,taken,takes,taking
177,teach,TAUGHT,taught,teaches,teaching
178,tear,TORE,torn,tears,tearing
179,tell,TOLD,told,tells,telling
180,think,THOUGHT,thought,thinks,thinking
181,thrive,THROVE,thriven,thrives,thriving
182,throw,THREW,thrown,throws,throwing
183,thrust,THRUST,thrust,thrusts,thrusting
184,tread,TROD,trodden,treads,treading
185,understand,UNDERSTOOD,understood,understands,understanding
186,wake,WOKE,woken,wakes,waking
187,way-lay,WAY-LAID,way-laid,way-lays,way-laying
188,wear,WORE,worn,wears,wearing
189,weave,WOVE,woven,weaves,weaving
190,wed,WED,wed,weds,wedding
191,weep,WEPT,wept,weeps,weeping
192,welcome,WELCOMED,welcomed,welcomes,welcoming
193,wend,WENT,went,wends,wending
194,wet,WET,wet,wets,wetting
195,win,WON,won,wins,winning
196,wind,WOUND,wound,winds,winding
197,withdraw,WITHDREW,withdrawn,withdraws,withdrawing
198,wring,WRUNG,wrung,wrings,wringing
199,write,WROTE,written,writes,writing
